,x,y,ap1,ap2,ap3,ap4,ap5,ap6,label
256,743,685,-51.21577313150317,-57.53005256807239,-57.69922123912557,-50.53972542045792,-52.132628741725604,-65.54162383665565,37.222
259,595,564,-52.79826674692294,-51.12312635507834,-53.63787565449889,-53.60206839893736,-55.41023228298609,-53.62842794844201,30.58
260,538,534,-47.13045286059953,-54.97597179491392,-57.30412829218675,-52.11510910350033,-51.09648354099244,-60.212279480084206,28.852
261,484,500,-50.08428264041705,-54.87940027815074,-52.12951025698386,-53.81392266817308,-60.53323615152637,-55.34884521439673,26.936
263,368,444,-43.741151061826415,-51.414192296762636,-54.87545414207509,-51.250849657203005,-57.174824072825146,-58.51868626457051,23.672
267,141,328,-52.41597309313677,-53.57968491409221,-62.42942386815376,-66.70676474615013,-54.831413105584986,-60.76383925460429,16.964
273,503,448,-54.763412883687266,-49.18661568063175,-55.377228545557735,-54.73888273657675,-53.60068898544349,-53.36628051682191,24.412
274,566,462,-48.47987386481186,-47.49570186689663,-56.41229233284639,-55.6642665997391,-59.64409557933404,-54.87795162361454,25.364
275,630,464,-51.07044832579059,-48.40621693362312,-52.136888764540565,-72.83124078305103,-58.92462100944843,-56.91136890327736,25.72
277,758,462,-54.12955517216496,-49.663990519381144,-59.37832522448248,-57.7849856559342,-54.79372839657544,-53.55032654194231,26.132
278,822,466,-49.11250182546286,-50.6253548464186,-55.87568734974502,-55.135787919965296,-55.417223817485535,-56.67725464799361,26.588
279,886,460,-68.48072685106256,-44.90334753495784,-52.565629285262176,-56.371870896962776,-60.344203227434136,-55.38396492466991,26.544
281,1013,441,-67.81841269966982,-49.3626638092805,-58.6698577711561,-53.51653008717679,-56.67945666224438,-55.7879252182952,26.102
285,1257,362,-52.61018501111227,-50.674208848681246,-56.70353344348743,-54.74417472496871,-55.95453056375598,-57.59855759842644,23.128
286,1318,342,-56.495190944550195,-45.564022644065965,-58.59691155573765,-60.28773441451649,-52.3862508698401,-52.92559448395333,22.372
287,1380,325,-58.67958469617886,-46.545258698930574,-50.233996932124676,-56.24122002859339,-59.734922166923056,-54.878695168509765,21.77
289,1504,302,-56.545056811652294,-49.59243522709798,-45.492280029913445,-59.83806927603794,-57.72597145918442,-52.78109859548454,21.116
290,1558,267,-58.01779748596084,-49.89577943749839,-48.16741470661054,-54.87350007256036,-51.34984280858704,-52.75832326998991,19.582
291,1614,236,-52.484430589969264,-50.993461033597,-54.92513317422891,-56.37681359292671,-50.53747536538697,-66.79867918559158,18.256
294,1766,120,-58.78726937316614,-46.591808129299075,-39.11766274787191,-59.00937303727841,-60.44378005580339,-58.03817217075613,13.064
295,1830,124,-56.21367622632338,-48.618409890180345,-34.02306241205193,-61.16242464558566,-55.420382795072555,-70.38209253776868,13.52
296,1894,117,-63.96846929381094,-62.13780724600335,-21.442794073996378,-62.26912009118537,-53.55776639935699,-57.27494920548895,13.425999999999998
297,1830,127,-56.7221640584303,-49.053907684939716,-34.45488642400517,-71.06239135511255,-52.43481407038015,-62.13840144403781,13.67
298,1770,148,-56.597869423611215,-60.633753268001215,-36.04536846591401,-61.403698169042116,-54.685216011672104,-55.36431164416796,14.48
302,1531,244,-54.15706635721322,-48.78120139994714,-46.82802812979868,-56.69988305799887,-53.30829749945529,-60.289112860909725,18.323999999999998
304,1419,306,-53.680755980028835,-46.84329086144065,-49.88154733605832,-54.475975695207,-63.39185462385355,-56.12875985754184,20.976
305,1357,324,-63.27814589802897,-45.88121737567584,-53.42488164570248,-54.5718342959493,-55.39872337291803,-56.713957312641234,21.628
306,1295,341,-53.50542789844227,-51.865200149296065,-55.70722077147832,-54.60118013390564,-52.89851252438021,-62.185583732860664,22.23
307,1233,354,-53.043267504243126,-45.25524320037416,-47.50017459456244,-55.82978808621707,-52.43857496272465,-57.68548241210034,22.631999999999998
308,1168,356,-63.045084505374504,-43.02441179616308,-55.236926015553074,-56.94120572256146,-59.253090391234196,-58.922018904404055,22.472
316,663,431,-49.35248844775867,-46.86879416749256,-52.77919573965593,-71.04709202061257,-62.271698641463416,-57.00723774060386,24.202
317,600,444,-49.584024238691,-49.84108200232134,-55.96103079498694,-49.4769873822439,-83.16847191975002,-57.345723146091494,24.599999999999998
318,540,465,-47.79271763624999,-49.36554144494119,-55.09558297349288,-59.589810299701504,-56.11700350601155,-53.559892830472734,25.41
319,482,493,-47.239972389961395,-55.73287917368266,-52.9567928202049,-54.65931026967226,-53.345726077399036,-54.69213008212375,26.578
321,364,544,-51.56333597700741,-50.069198636272034,-53.27127357243248,-49.32138990590136,-51.54425090329586,-55.2420548017661,28.656
322,305,569,-51.55483824233808,-56.43275876860323,-52.476630555795765,-49.79107896000087,-62.48330352579136,-60.139717679150706,29.669999999999998
325,133,650,-51.164234657528276,-52.064839062318555,-53.30542394769593,-54.27866598327651,-60.949660834076795,-65.31663704790064,33.032
327,109,527,-51.26162704648423,-64.09704481167788,-54.17148850325667,-68.52660542632496,-63.59731121796001,-59.022066660994724,26.786
328,116,463,-50.11730960801767,-52.23428732899093,-67.5006984434558,-59.1357975143965,-55.5786026632579,-59.59208737939435,23.613999999999997
332,267,260,-41.92788619591023,-51.61630471865826,-54.13891220667565,-53.274942089757815,-55.54527755743628,-57.62711687778214,14.068
335,412,137,-48.35569686288644,-48.758699184023214,-56.326751404120856,-55.29080118227489,-61.93286528527672,-59.5140228138751,8.498
338,542,273,-46.01793931710371,-57.09236329130515,-63.49789456396718,-61.2317854573852,-58.19438219068421,-58.75202823845943,15.818000000000001
339,572,330,-61.338654369610865,-48.09411430881964,-54.15881229817009,-55.242238960077515,-70.23814406357067,-59.902419316825814,18.788
341,609,453,-48.09451393644036,-55.080467385724035,-52.39564011952374,-52.54403003928936,-59.39237011464093,-56.15003463224834,25.086
342,638,511,-54.020838670609464,-54.54788751602048,-60.91585478063473,-58.402183879186,-63.08211082789164,-55.04223429815454,28.102
346,747,743,-55.38599896453839,-53.84298885446192,-55.59108835089077,-57.169393679938345,-52.720239630846244,-57.72787996328593,40.138
348,776,868,-51.71216759971508,-51.05696190338065,-53.921057806875126,-58.961170788269925,-54.13572069465572,-54.8612409534212,46.504
349,803,926,-60.16275812731702,-52.329289063797226,-57.274398247841695,-57.21558051281996,-54.63413040520577,-58.348203484482035,49.512
351,838,1050,-58.6147841707188,-54.44944895071181,-54.59112501806881,-51.572901052039064,-51.463866729760014,-53.5619484803678,55.852
352,855,1112,-55.15044623564393,-65.61864591337594,-55.185409439929494,-51.95891513659107,-45.51707155291773,-52.16646098882951,59.02
353,886,1168,-57.19104981296112,-57.88707667482158,-56.295778586486875,-50.19232293620787,-43.94751359293902,-58.02066674832268,61.943999999999996
356,986,1332,-57.54593506585841,-62.944660612458335,-54.450460358360985,-66.2035460778311,-33.29028598112025,-65.76184418264906,70.544
357,1009,1392,-55.3951147189633,-56.391934020654865,-53.227447152696286,-64.52248260653191,-17.278865198844407,-67.8965667711879,73.636
