,ap1,ap2,ap3,ap4,ap5,ap6,x,y
330,-54.36251606715153,-42.755434593262365,-48.14078261594374,-54.842037958542164,-70.59093706116,-55.532433378053824,1090,307
331,-59.638690466175184,-55.08241947973417,-59.2491340273498,-62.684714393073804,-51.16742816613333,-61.49010837200662,1878,1041
332,-50.601323118426286,-45.35450948364536,-58.03206033591539,-55.23478946956773,-64.62291893462329,-54.10715395166763,788,153
333,-54.409818097163395,-54.626467040717195,-62.67660486204852,-51.99762123497206,-43.74126784846489,-54.41046867708823,910,1065
334,-47.589607129905886,-52.88494671225047,-53.321125549161735,-58.07697085492609,-56.69601366828462,-54.490347773986905,772,433
335,-32.058115954582945,-48.52335724212294,-55.55883381217721,-69.7238002531161,-54.316708156222745,-64.6870752386558,91,30
336,-53.74160325146056,-53.77050923412366,-52.440704816245386,-59.08467967299004,-61.68667984687009,-48.77509675300753,1860,910
337,-52.766080708392664,-48.7032914799331,-55.33855543110178,-53.852818732716145,-54.04613043572514,-59.54925264484881,606,58
338,-59.48486021916476,-55.291934823331424,-60.45620696159615,-54.61138837936073,-52.43272874733351,-41.03029423557786,1992,1071
340,-54.67417813956014,-52.97845273720061,-56.063127019882344,-58.5674270240309,-55.94385711798889,-56.10841752586477,992,704
343,-54.807308853967804,-50.90197443701538,-54.46024836357384,-61.80556876115196,-54.00467464892852,-53.97581190987977,525,473
344,-56.06222495468229,-49.61700976113801,-53.39593848298346,-55.767757290386015,-56.61600357574841,-66.04929448772567,487,534
345,-53.91175163732272,-54.001810284119934,-56.705714121398174,-40.03127861680119,-47.835393994844104,-67.28540133102285,351,1311
346,-58.87570388393958,-54.604321053939735,-54.74110687092579,-54.61907957660983,-30.163967816674006,-54.78869123209705,1031,1433
347,-58.34117610298459,-57.392446019719614,-57.475465651195954,-52.94000915035576,-52.15588215313428,-61.69724659952101,1062,692
348,-61.03659754729003,-62.0464752393204,-63.74462779389039,-43.25867001687961,-47.613275713067736,-60.16388909470321,246,1384
