,ap1,ap2,ap3,ap4,ap5,ap6,x,y
158,1080,408,-58.877651919525114,-44.77394157108398,-59.29237450244141,-56.37127367532027,-59.70757486126885,-55.473954729751604
159,1139,434,-56.134129878257816,-46.62650193126289,-61.012280993928115,-54.313703416622836,-57.11181710338437,-55.80389861737905
160,1192,470,-54.72912510909722,-46.96329699329692,-51.63863439965475,-54.41067362607784,-52.915433231560634,-53.764110707069754
161,1250,497,-56.03695910311349,-48.06942711546548,-53.28979096868211,-55.00865828334941,-55.13858808387171,-53.718888554739294
162,1310,520,-53.993451950619516,-49.703750578806506,-48.47231136627555,-60.60279088278439,-58.924257085580656,-54.71862209948896
163,1368,548,-54.05689104235579,-50.42411193489191,-52.35793891378874,-51.28366215962987,-60.513726925807205,-57.346294913717166
164,1430,563,-53.73550940623936,-48.61184056539004,-49.046950365699054,-66.23816627477864,-53.443843977029466,-63.05411575824142
165,1492,581,-55.444919364318906,-53.98154713316717,-52.35711458812281,-58.30820000233233,-65.19020095715382,-49.8520464816595
166,1556,578,-58.546753172037796,-50.07258929219536,-50.56363658523133,-56.861210668869134,-53.405678536166235,-53.01717886568048
167,1620,572,-55.61237068603525,-51.09491055052289,-53.35242023414249,-54.106887794220626,-61.26393245241826,-50.15525872523209
168,1684,563,-54.20757473097663,-53.24426555713282,-62.62956988751414,-54.56923895878103,-59.423414469384106,-50.24119626876445
169,1744,542,-62.13867699278461,-50.380913625135534,-49.419518021891164,-55.63016231440446,-55.29109443367501,-51.98446988900946
170,1808,532,-55.80403210441613,-61.1139138843165,-44.9245153067553,-68.41858088859517,-57.19397638647102,-54.5054547161481
171,1872,524,-54.406709528737444,-61.08457129062833,-45.819137657672385,-56.73143039356898,-60.836943325667164,-55.378297170135454
172,1824,567,-57.97218028282144,-57.372757310432725,-46.5777851707884,-56.83515367537393,-56.86607321515389,-50.692727103642746
173,1783,617,-52.86062662463217,-60.99531428092257,-53.45877856590089,-55.39216252899272,-63.65368323195439,-53.65039633177113
174,1764,678,-58.05494914609482,-50.97635908217187,-55.388434461884046,-66.19544300834707,-54.45567150530428,-57.014991126239956
175,1742,739,-58.629029501738074,-52.162126265008396,-52.17894687439138,-66.5900032503833,-52.36854432285922,-50.58012420505287
176,1704,790,-59.00764769955731,-57.592417967491976,-48.58659908720175,-58.92347861166223,-52.51997647774417,-54.64682466001606
177,1674,847,-51.54424545659764,-51.50230672523087,-47.88170382116064,-58.79234871286854,-59.79860250471161,-61.78149208786948
178,1660,910,-60.66147186417061,-61.3837277380147,-51.38048620957871,-53.253080470298706,-48.35583035182607,-61.16958859114585
179,1643,972,-57.35519746542643,-55.71532943552725,-57.1139295394605,-54.898996253195556,-55.45788518314566,-48.33065099352062
180,1640,1036,-62.611439100098835,-55.69786020606329,-52.206455667230586,-52.194643732366295,-50.12085628000033,-54.02158165897483
181,1631,1100,-57.269894147007534,-62.16462794172104,-51.26723905730681,-61.79746304940463,-49.35869744988455,-46.758451829255144
182,1649,1161,-57.29598066844012,-60.22702194609424,-62.61422731055312,-55.491918805854425,-48.921911347312374,-48.65875456161659
183,1652,1226,-61.87996285688497,-53.71240941605339,-53.59729859757298,-58.00969751124179,-53.24263734782383,-44.68770091234286
184,1667,1288,-60.44995382144711,-56.06305565906532,-54.70929299307805,-58.59989273552021,-52.79333827358133,-41.73994358735375
185,1690,1348,-58.9162949351983,-56.423912959389625,-55.25710481775164,-52.90177394095679,-47.98801819625895,-46.01190357138079
186,1712,1288,-59.62822646960744,-60.14676305698369,-53.108163925990794,-65.90687790892532,-47.52684784975109,-41.669006878217225
187,1728,1226,-52.89474955468808,-52.83921678167804,-52.67793900683208,-55.426207948355604,-50.35585401844264,-41.39058955995594
